imgid,image_path,image_filename,timestamp,lat,lon,alt,x_enu_m,y_enu_m,z_enu_m,reference_type,fix_type,num_sat,eph_m,epv_m,vel_n_m_s,vel_e_m_s,vel_d_m_s,has_reference,gt_x_utm_m,gt_y_utm_m,gt_z_m,gt_omega_deg,gt_phi_deg,gt_kappa_deg,gt_x_gps_utm_m,gt_y_gps_utm_m,gt_z_gps_m,gt_z_minus_gps_z_m,gt_interpolated_by_imgid,pose_azimuth_raw,pose_height_m,pose_altitude_m,pose_veh_pitch_raw,pose_attitude_w,pose_attitude_x,pose_attitude_y,pose_attitude_z,pose_vel_x,pose_vel_y,pose_vel_z,pose_gps_on,barometer_pressure,barometer_altitude_m,barometer_temperature,barometer_error_count,height_agl_m,pose_azimuth_deg,yaw_deg,pose_veh_pitch_deg
11,data/raw/zurich_mav_sample/MAV_Images/00011.jpg,00011.jpg,7340299,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.024083,5247973.634992667,469.24942733333336,95.77337299999999,-73.64789366666668,9.493443666666668,465670.82605266664,5247977.7660116665,465.3813376666667,3.8680896666666627,True,0.0,0.0,474.60107421875,-0.0951861292123794,0.9969986081123352,0.021820742636919,-0.0485405549407005,0.0562282130122184,0.0,0.0,0.0,1.0,957.8999633789062,471.2798156738281,10.34000015258789,0.0,3.8680896666666627,0.0,0.0,-5.453763472056255
12,data/raw/zurich_mav_sample/MAV_Images/00012.jpg,00012.jpg,7373632,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.0207365,5247973.633829733,469.2724204666667,95.79682749999999,-73.68432013333334,9.525709333333333,465670.8379732333,5247977.739269033,465.4284710333333,3.843949433333364,True,0.0,0.0,474.8624267578125,-0.0965293273329734,0.9970459938049316,0.0253857839852571,-0.0493878126144409,0.0530633851885795,0.0,0.0,0.0,1.0,957.8999633789062,471.2798156738281,10.34000015258789,0.0,3.843949433333364,0.0,0.0,-5.530723055416194
13,data/raw/zurich_mav_sample/MAV_Images/00013.jpg,00013.jpg,7402809,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True,465666.01739,5247973.6326668,469.2954136,95.82028199999999,-73.7207466,9.557975,465670.8498938,5247977.7125264,465.4756044,3.819809200000009,True,0.0,0.0,474.6881713867188,-0.0956582799553871,0.9971343874931335,0.026259234175086,-0.0489531829953193,0.051352959126234,0.0,0.0,0.0,1.0,957.8999633789062,471.2798156738281,10.34000015258789,0.0,3.819809200000009,0.0,0.0,-5.480815716924562
14,data/raw/zurich_mav_sample/MAV_Images/00014.jpg,00014.jpg,7436142,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True,465666.0140435,5247973.631503867,469.31840673333335,95.84373649999999,-73.75717306666667,9.590240666666666,465670.86181436665,5247977.685783766,465.5227377666667,3.7956689666666534,True,0.0,0.0,474.8624267578125,-0.0906014665961265,0.9973562359809875,0.0266515742987394,-0.0464419275522232,0.0491278693079948,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.7956689666666534,0.0,0.0,-5.191081653653558
15,data/raw/zurich_mav_sample/MAV_Images/00015.jpg,00015.jpg,7469475,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True,465666.010697,5247973.630340934,469.3413998666667,95.86719099999999,-73.79359953333334,9.622506333333334,465670.8737349333,5247977.659041133,465.5698711333333,3.771528733333355,True,0.0,0.0,474.7744140625,-0.0800099000334739,0.9975603818893432,0.0264508593827486,-0.0412112474441528,0.0497536733746528,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.771528733333355,0.0,0.0,-4.584229591181678
16,data/raw/zurich_mav_sample/MAV_Images/00016.jpg,00016.jpg,7502808,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True,465666.0073505,5247973.629178001,469.364393,95.8906455,-73.830026,9.654772000000001,465670.8856555,5247977.632298499,465.6170045,3.7473884999999996,True,0.0,0.0,474.7744140625,-0.0740374773740768,0.9976283311843872,0.0259335320442914,-0.0382294468581676,0.0510271750390529,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.7473884999999996,0.0,0.0,-4.242034979329926
17,data/raw/zurich_mav_sample/MAV_Images/00017.jpg,00017.jpg,7536141,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True,465666.004004,5247973.6280150665,469.38738613333334,95.9141,-73.86645246666667,9.687037666666667,465670.89757606667,5247977.605555867,465.6641378666667,3.723248266666644,True,0.0,0.0,474.7744140625,-0.0623585134744644,0.9977267980575562,0.0228918194770813,-0.0323188193142414,0.0545219331979751,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.723248266666644,0.0,0.0,-3.5728796387964854
18,data/raw/zurich_mav_sample/MAV_Images/00018.jpg,00018.jpg,7569474,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True,465666.0006575,5247973.626852133,469.41037926666667,95.9375545,-73.90287893333334,9.719303333333334,465670.90949663334,5247977.578813233,465.7112712333333,3.6991080333333457,True,0.0,0.0,474.6001892089844,-0.0544331036508083,0.9976993203163148,0.019270934164524,-0.0282506365329027,0.0585377216339111,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.6991080333333457,0.0,0.0,-3.118787104989469
19,data/raw/zurich_mav_sample/MAV_Images/00019.jpg,00019.jpg,7599573,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True,465665.997311,5247973.6256892,469.4333724,95.961009,-73.93930540000001,9.751569,465670.9214172,5247977.5520706,465.7584046,3.6749677999999903,True,0.0,0.0,474.8615417480469,-0.0532844550907611,0.9976381659507751,0.0177227370440959,-0.0276442542672157,0.0603318475186824,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.6749677999999903,0.0,0.0,-3.052974390354985
20,data/raw/zurich_mav_sample/MAV_Images/00020.jpg,00020.jpg,7632906,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True,465665.9939645,5247973.624526267,469.4563655333333,95.9844635,-73.97573186666666,9.783834666666667,465670.9333377667,5247977.525327967,465.8055379666667,3.650827566666635,True,0.0,0.0,474.7744140625,-0.0553143285214901,0.9974928498268129,0.0152549119666218,-0.0285166073590517,0.0629470273852348,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.650827566666635,0.0,0.0,-3.1692775708814973
21,data/raw/zurich_mav_sample/MAV_Images/00021.jpg,00021.jpg,7666239,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True,465665.990618,5247973.623363334,469.47935866666666,96.007918,-74.01215833333333,9.816100333333333,465670.94525833335,5247977.498585333,465.8526713333333,3.6266873333333365,True,0.0,0.0,474.7744140625,-0.0583608597517013,0.9973791241645812,0.0137818921357393,-0.0300431679934263,0.0643622726202011,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.6266873333333365,0.0,0.0,-3.343830952527398
22,data/raw/zurich_mav_sample/MAV_Images/00022.jpg,00022.jpg,7699572,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True,465665.9872715,5247973.6222004,469.5023518,96.0313725,-74.0485848,9.848366,465670.9571789,5247977.4718427,465.8998047,3.602547099999981,True,0.0,0.0,474.8615417480469,-0.0611723214387893,0.9973157048225404,0.0135849379003047,-0.0314350128173828,0.0647196620702743,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.602547099999981,0.0,0.0,-3.5049158414602704
23,data/raw/zurich_mav_sample/MAV_Images/00023.jpg,00023.jpg,7732905,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True,465665.983925,5247973.621037466,469.5253449333333,96.054827,-74.08501126666667,9.880631666666666,465670.9690994667,5247977.445100066,465.9469380666667,3.5784068666666258,True,0.0,0.0,474.7744140625,-0.0669770985841751,0.9972009062767028,0.0144475223496556,-0.034396655857563,0.0647963359951973,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.5784068666666258,0.0,0.0,-3.8375050729048743
24,data/raw/zurich_mav_sample/MAV_Images/00024.jpg,00024.jpg,7766238,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True,465665.9805785,5247973.619874533,469.5483380666667,96.0782815,-74.12143773333334,9.912897333333333,465670.9810200333,5247977.418357433,465.9940714333333,3.554266633333384,True,0.0,0.0,474.8615417480469,-0.069264993071556,0.997173547744751,0.0161197315901517,-0.0356375835835933,0.0641498565673828,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.554266633333384,0.0,0.0,-3.968591771003047
25,data/raw/zurich_mav_sample/MAV_Images/00025.jpg,00025.jpg,7798438,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True,465665.977232,5247973.6187116,469.57133120000003,96.101736,-74.1578642,9.945163,465670.9929406,5247977.391614799,466.0412048,3.5301264000000288,True,0.0,0.0,474.8615417480469,-0.0692505687475204,0.997196078300476,0.0164975356310606,-0.0356499068439006,0.0636952593922615,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.5301264000000288,0.0,0.0,-3.9677653181134787
26,data/raw/zurich_mav_sample/MAV_Images/00026.jpg,00026.jpg,7831771,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True,465665.9738855,5247973.617548667,469.59432433333336,96.1251905,-74.19429066666667,9.977428666666667,465671.00486116664,5247977.364872167,466.0883381666667,3.5059861666666734,True,0.0,0.0,474.6872863769531,-0.070256769657135,0.9972133040428162,0.0162189211696386,-0.0361156947910785,0.0632318705320358,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.5059861666666734,0.0,0.0,-4.025416383576619
27,data/raw/zurich_mav_sample/MAV_Images/00027.jpg,00027.jpg,7865104,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True,465665.970539,5247973.616385734,469.6173174666667,96.148645,-74.23071713333334,10.009694333333334,465671.0167817333,5247977.338129533,466.1354715333333,3.481845933333375,True,0.0,0.0,474.8615417480469,-0.0724945291876792,0.9971046447753906,0.016194924712181,-0.0373100638389587,0.0642492473125457,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.481845933333375,0.0,0.0,-4.153630560241978
28,data/raw/zurich_mav_sample/MAV_Images/00028.jpg,00028.jpg,7898437,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True,465665.9671925,5247973.6152228005,469.6403106,96.1720995,-74.2671436,10.04196,465671.0287023,5247977.3113869,466.1826049,3.4577057000000195,True,0.0,0.0,474.8615417480469,-0.0739370957016944,0.9970186948776244,0.0160028208047151,-0.0380349867045879,0.0652000680565834,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.4577057000000195,0.0,0.0,-4.2362835331619495
29,data/raw/zurich_mav_sample/MAV_Images/00029.jpg,00029.jpg,7931770,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True,465665.96384599997,5247973.614059866,469.66330373333335,96.195554,-74.30357006666667,10.074225666666667,465671.04062286665,5247977.284644267,466.2297382666667,3.433565466666664,True,0.0,0.0,474.8615417480469,-0.077294997870922,0.9968158006668092,0.0149078974500298,-0.0396500751376152,0.0675574466586113,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.433565466666664,0.0,0.0,-4.428677155476515
30,data/raw/zurich_mav_sample/MAV_Images/00030.jpg,00030.jpg,7965103,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True,465665.9604995,5247973.612896933,469.6862968666667,96.2190085,-74.33999653333333,10.106491333333333,465671.0525434333,5247977.257901633,466.2768716333333,3.4094252333333657,True,0.0,0.0,475.1228942871094,-0.0777938291430473,0.9966698288917542,0.0141855487599968,-0.0399143174290657,0.0696777030825614,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.4094252333333657,0.0,0.0,-4.457258082058436
31,data/raw/zurich_mav_sample/MAV_Images/00031.jpg,00031.jpg,7988182,47.3843499,8.5451832,466.324,0.3576222006231546,-0.8022782457992435,1.4139999999999873,onboard_gps,3,6,11.48600101,1.7500000000000002e-43,0.48999998,1.029999971,0.74000001,True,465665.957153,5247973.611734,469.70929,96.242463,-74.376423,10.138757,465671.064464,5247977.231159,466.324005,3.3852850000000103,True,0.0,0.0,474.7744140625,-0.0775493085384368,0.9966239333152772,0.0139660593122243,-0.0397496484220027,0.0704671368002891,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.3852850000000103,0.0,0.0,-4.443248083410268
32,data/raw/zurich_mav_sample/MAV_Images/00032.jpg,00032.jpg,8021515,47.3843499,8.5451832,466.324,0.3576222006231546,-0.8022782457992435,1.4139999999999873,onboard_gps,3,6,11.48600101,1.7500000000000002e-43,0.48999998,1.029999971,0.74000001,True,465665.95554876665,5247973.6139086,469.71888206666665,96.31030153333333,-74.47766533333333,10.219001066666667,465671.0813191,5247977.230690099,466.355372,3.363510066666663,True,0.0,0.0,474.9486389160156,-0.0768795534968376,0.9965969324111938,0.0138226952403783,-0.0394494086503982,0.0710441768169403,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.329999923706056,0.0,3.363510066666663,0.0,0.0,-4.404873946219024
33,data/raw/zurich_mav_sample/MAV_Images/00033.jpg,00033.jpg,8054848,47.3843499,8.5451832,466.324,0.3576222006231546,-0.8022782457992435,1.4139999999999873,onboard_gps,3,6,11.48600101,1.7500000000000002e-43,0.48999998,1.029999971,0.74000001,True,465665.9539445333,5247973.6160832,469.72847413333335,96.37814006666667,-74.57890766666667,10.299245133333333,465671.0981742,5247977.2302212,466.386739,3.3417351333333727,True,0.0,0.0,474.9486389160156,-0.0756229311227798,0.9965888261795044,0.0136390822008252,-0.0388119705021381,0.0715425685048103,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.3417351333333727,0.0,0.0,-4.332874787743803
34,data/raw/zurich_mav_sample/MAV_Images/00034.jpg,00034.jpg,8088181,47.3843499,8.5451832,466.324,0.3576222006231546,-0.8022782457992435,1.4139999999999873,onboard_gps,3,6,11.48600101,1.7500000000000002e-43,0.48999998,1.029999971,0.74000001,True,465665.9523403,5247973.6182578,469.7380662,96.4459786,-74.68015,10.3794892,465671.1150293,5247977.229752299,466.418106,3.3199601999999686,True,0.0,0.0,475.1228942871094,-0.0739415884017944,0.9966450333595276,0.0134063186123967,-0.0379490293562412,0.0712665542960167,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.3199601999999686,0.0,0.0,-4.236540945916297
35,data/raw/zurich_mav_sample/MAV_Images/00035.jpg,00035.jpg,8121514,47.3843499,8.5451832,466.324,0.3576222006231546,-0.8022782457992435,1.4139999999999873,onboard_gps,3,6,11.48600101,1.7500000000000002e-43,0.48999998,1.029999971,0.74000001,True,465665.9507360667,5247973.6204324,469.7476582666667,96.51381713333333,-74.78139233333333,10.459733266666667,465671.1318844,5247977.2292834,466.449473,3.298185266666678,True,0.0,0.0,475.1228942871094,-0.0729856193065643,0.9966880083084106,0.0132357068359851,-0.0374366752803325,0.0709673315286636,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.329999923706056,0.0,3.298185266666678,0.0,0.0,-4.181767951414673
36,data/raw/zurich_mav_sample/MAV_Images/00036.jpg,00036.jpg,8154847,47.3843499,8.5451832,466.324,0.3576222006231546,-0.8022782457992435,1.4139999999999873,onboard_gps,3,6,11.48600101,1.7500000000000002e-43,0.48999998,1.029999971,0.74000001,True,465665.94913183333,5247973.622607,469.75725033333333,96.58165566666666,-74.88263466666666,10.539977333333333,465671.1487395,5247977.228814499,466.48084,3.276410333333331,True,0.0,0.0,474.6881713867188,-0.0705626904964447,0.9967692494392396,0.0127263236790895,-0.0361630916595459,0.0705785527825355,0.0,0.0,0.0,1.0,957.8699951171876,471.5411682128906,10.34000015258789,0.0,3.276410333333331,0.0,0.0,-4.042944356534165
37,data/raw/zurich_mav_sample/MAV_Images/00037.jpg,00037.jpg,8197070,47.3843502,8.5451842,466.501,0.4332954380661249,-0.7693791054189205,1.5909999999999511,onboard_gps,3,6,11.28900051,1.5300000000000001e-43,0.509999991,0.259999991,0.550000012,True,465665.9475276,5247973.6247816,469.76684240000003,96.6494942,-74.983877,10.6202214,465671.1655946,5247977.2283456,466.512207,3.2546354000000406,True,0.0,0.0,474.9495239257813,-0.0681359022855758,0.9968008995056152,0.0120718507096171,-0.0348904617130756,0.0708875879645347,0.0,0.0,0.0,1.0,957.8699951171876,471.5411682128906,10.34000015258789,0.0,3.2546354000000406,0.0,0.0,-3.9038996342792727
38,data/raw/zurich_mav_sample/MAV_Images/00038.jpg,00038.jpg,8230403,47.3843502,8.5451842,466.501,0.4332954380661249,-0.7693791054189205,1.5909999999999511,onboard_gps,3,6,11.28900051,1.5300000000000001e-43,0.509999991,0.259999991,0.550000012,True,465665.94592336664,5247973.6269562,469.7764344666667,96.71733273333334,-75.08511933333334,10.700465466666667,465671.1824497,5247977.2278766995,466.543574,3.2328604666666934,True,0.0,0.0,474.7752990722656,-0.0664660185575485,0.9967430830001832,0.0118625676259398,-0.0340605862438678,0.0721286758780479,0.0,0.0,0.0,1.0,957.8699951171876,471.5411682128906,10.34000015258789,0.0,3.2328604666666934,0.0,0.0,-3.8082223443857366
