sequence_frame_id,sequence,image_path,image_path_relative,filename,token0_id,token1_order,lon,lat,parse_status,frame_index_in_sequence,global_frame_index,utm_x_m,utm_y_m,x_enu_global_m,y_enu_global_m,x_enu_m,y_enu_m,image_path_resolved,is_uniform,is_existing73,is_relative_risk,risk_reason,query_index,query_source
57,traj01,data/raw/satloc/part_1/UAV Data/traj01/58@57053@112.816352@28.302780.png,UAV Data/traj01/58@57053@112.816352@28.302780.png,58@57053@112.816352@28.302780.png,58,57053,112.816352,28.30278,ok,57,57,678103.181977019,3132082.389029421,12.670610477449372,605.7977538537234,12.670610477449372,605.7977538537234,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/58@57053@112.816352@28.302780.png,False,True,False,,14,benchmark73
59,traj01,data/raw/satloc/part_1/UAV Data/traj01/60@59055@112.816350@28.302998.png,UAV Data/traj01/60@59055@112.816350@28.302998.png,60@59055@112.816350@28.302998.png,60,59055,112.81635,28.302998,ok,59,59,678102.6226154313,3132106.5428532995,12.111248889821582,629.9515777323395,12.111248889821582,629.9515777323395,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/60@59055@112.816350@28.302998.png,False,True,False,,15,benchmark73
60,traj01,data/raw/satloc/part_1/UAV Data/traj01/61@60056@112.816349@28.303108.png,UAV Data/traj01/61@60056@112.816349@28.303108.png,61@60056@112.816349@28.303108.png,61,60056,112.816349,28.303108,ok,60,60,678102.3412678407,3132118.730576378,11.82990129920654,642.1393008106388,11.82990129920654,642.1393008106388,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/61@60056@112.816349@28.303108.png,True,False,False,,16,uniform
65,traj01,data/raw/satloc/part_1/UAV Data/traj01/66@65061@112.816345@28.303640.png,UAV Data/traj01/66@65061@112.816345@28.303640.png,66@65061@112.816345@28.303640.png,66,65061,112.816345,28.30364,ok,65,65,678101.062586741,3132177.676072809,10.551220199558884,701.084797241725,10.551220199558884,701.084797241725,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/66@65061@112.816345@28.303640.png,True,False,False,,17,uniform
66,traj01,data/raw/satloc/part_1/UAV Data/traj01/67@66062@112.816345@28.303746.png,UAV Data/traj01/67@66062@112.816345@28.303746.png,67@66062@112.816345@28.303746.png,67,66062,112.816345,28.303746,ok,66,66,678100.8859738184,3132189.42202792,10.374607276869938,712.8307523527183,10.374607276869938,712.8307523527183,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/67@66062@112.816345@28.303746.png,False,True,False,,18,benchmark73
70,traj01,data/raw/satloc/part_1/UAV Data/traj01/71@70066@112.816345@28.304183.png,UAV Data/traj01/71@70066@112.816345@28.304183.png,71@70066@112.816345@28.304183.png,71,70066,112.816345,28.304183,ok,70,70,678100.1578556198,3132237.846391763,9.646489078295415,761.2551161958836,9.646489078295415,761.2551161958836,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/71@70066@112.816345@28.304183.png,True,False,False,,19,uniform
73,traj01,data/raw/satloc/part_1/UAV Data/traj01/74@73068@112.816343@28.304490.png,UAV Data/traj01/74@73068@112.816343@28.304490.png,74@73068@112.816343@28.304490.png,74,73068,112.816343,28.30449,ok,73,73,678099.450189752,3132271.862390803,8.938823210541159,795.2711152359843,8.938823210541159,795.2711152359843,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/74@73068@112.816343@28.304490.png,False,True,False,,20,benchmark73
75,traj01,data/raw/satloc/part_1/UAV Data/traj01/76@75070@112.816344@28.304684.png,UAV Data/traj01/76@75070@112.816344@28.304684.png,76@75070@112.816344@28.304684.png,76,75070,112.816344,28.304684,ok,75,75,678099.2250176272,3132293.361182057,8.713651085738093,816.7699064896442,8.713651085738093,816.7699064896442,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/76@75070@112.816344@28.304684.png,True,False,False,,21,uniform
78,traj01,data/raw/satloc/part_1/UAV Data/traj01/79@78073@112.816345@28.304912.png,UAV Data/traj01/79@78073@112.816345@28.304912.png,79@78073@112.816345@28.304912.png,79,78073,112.816345,28.304912,ok,78,78,678098.9431914628,3132318.627544978,8.431824921281077,842.0362694114447,8.431824921281077,842.0362694114447,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/79@78073@112.816345@28.304912.png,False,True,False,,22,benchmark73
80,traj01,data/raw/satloc/part_1/UAV Data/traj01/81@80075@112.816324@28.304919.png,UAV Data/traj01/81@80075@112.816324@28.304919.png,81@80075@112.816324@28.304919.png,81,80075,112.816324,28.304919,ok,80,80,678096.8720226344,3132319.3722534818,6.360656092874706,842.7809779145755,6.360656092874706,842.7809779145755,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/81@80075@112.816324@28.304919.png,True,False,False,,23,uniform
85,traj01,data/raw/satloc/part_1/UAV Data/traj01/86@85080@112.815922@28.304917.png,UAV Data/traj01/86@85080@112.815922@28.304917.png,86@85080@112.815922@28.304917.png,86,85080,112.815922,28.304917,ok,85,85,678057.4505421526,3132318.5578866675,-33.06082438887097,841.9666111003608,-33.06082438887097,841.9666111003608,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/86@85080@112.815922@28.304917.png,True,False,False,,24,uniform
89,traj01,data/raw/satloc/part_1/UAV Data/traj01/90@89084@112.815448@28.304921.png,UAV Data/traj01/90@89084@112.815448@28.304921.png,90@89084@112.815448@28.304921.png,90,89084,112.815448,28.304921,ok,89,89,678010.9579133723,3132318.302390706,-79.55345316918101,841.7111151386052,-79.55345316918101,841.7111151386052,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/90@89084@112.815448@28.304921.png,False,True,False,,25,benchmark73
90,traj01,data/raw/satloc/part_1/UAV Data/traj01/91@90084@112.815325@28.304921.png,UAV Data/traj01/91@90084@112.815325@28.304921.png,91@90084@112.815325@28.304921.png,91,90084,112.815325,28.304921,ok,90,90,677998.8951006613,3132318.1211020565,-91.6162658801768,841.5298264892772,-91.6162658801768,841.5298264892772,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/91@90084@112.815325@28.304921.png,True,False,False,,26,uniform
95,traj01,data/raw/satloc/part_1/UAV Data/traj01/96@95089@112.814710@28.304918.png,UAV Data/traj01/96@95089@112.814710@28.304918.png,96@95089@112.814710@28.304918.png,96,95089,112.81471,28.304918,ok,95,95,677938.5860381016,3132316.8824107056,-151.92532843991648,840.2911351383664,-151.92532843991648,840.2911351383664,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/96@95089@112.814710@28.304918.png,True,False,False,,27,uniform
99,traj01,data/raw/satloc/part_1/UAV Data/traj01/100@99093@112.814213@28.304910.png,UAV Data/traj01/100@99093@112.814213@28.304910.png,100@99093@112.814213@28.304910.png,100,99093,112.814213,28.30491,ok,99,99,677889.8577556043,3132315.2637736667,-200.65361093718093,838.6724980995059,-200.65361093718093,838.6724980995059,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/100@99093@112.814213@28.304910.png,False,True,False,,28,benchmark73
100,traj01,data/raw/satloc/part_1/UAV Data/traj01/101@100094@112.814089@28.304909.png,UAV Data/traj01/101@100094@112.814089@28.304909.png,101@100094@112.814089@28.304909.png,101,100094,112.814089,28.304909,ok,100,100,677877.6985387502,3132314.97032487,-212.81282779132016,838.3790493030101,-212.81282779132016,838.3790493030101,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/101@100094@112.814089@28.304909.png,True,False,False,,29,uniform
105,traj01,data/raw/satloc/part_1/UAV Data/traj01/106@105099@112.813473@28.304900.png,UAV Data/traj01/106@105099@112.813473@28.304900.png,106@105099@112.813473@28.304900.png,106,105099,112.813473,28.3049,ok,105,105,677817.301398759,3132313.065914566,-273.2099677824881,836.4746389989741,-273.2099677824881,836.4746389989741,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/106@105099@112.813473@28.304900.png,True,False,False,,30,uniform
106,traj01,data/raw/satloc/part_1/UAV Data/traj01/107@106100@112.813351@28.304899.png,UAV Data/traj01/107@106100@112.813351@28.304899.png,107@106100@112.813351@28.304899.png,107,106100,112.813351,28.304899,ok,106,106,677805.338326055,3132312.7754848967,-285.1730404865229,836.1842093295418,-285.1730404865229,836.1842093295418,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/107@106100@112.813351@28.304899.png,False,True,False,,31,benchmark73
110,traj01,data/raw/satloc/part_1/UAV Data/traj01/111@110103@112.812866@28.304894.png,UAV Data/traj01/111@110103@112.812866@28.304894.png,111@110103@112.812866@28.304894.png,111,110103,112.812866,28.304894,ok,110,110,677757.7819152836,3132311.5074920235,-332.7294512578519,834.9162164563313,-332.7294512578519,834.9162164563313,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/111@110103@112.812866@28.304894.png,True,False,False,,32,uniform
115,traj01,data/raw/satloc/part_1/UAV Data/traj01/116@115108@112.812263@28.304887.png,UAV Data/traj01/116@115108@112.812263@28.304887.png,116@115108@112.812263@28.304887.png,116,115108,112.812263,28.304887,ok,115,115,677698.6563849889,3132309.8444438586,-391.8549815525767,833.2531682914123,-391.8549815525767,833.2531682914123,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/116@115108@112.812263@28.304887.png,True,False,False,,33,uniform
116,traj01,data/raw/satloc/part_1/UAV Data/traj01/117@116109@112.812141@28.304886.png,UAV Data/traj01/117@116109@112.812141@28.304886.png,117@116109@112.812141@28.304886.png,117,116109,112.812141,28.304886,ok,116,116,677686.6933141456,3132309.554134284,-403.8180523959454,832.9628587164916,-403.8180523959454,832.9628587164916,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/117@116109@112.812141@28.304886.png,False,True,False,,34,benchmark73
120,traj01,data/raw/satloc/part_1/UAV Data/traj01/121@120113@112.811652@28.304885.png,UAV Data/traj01/121@120113@112.811652@28.304885.png,121@120113@112.811652@28.304885.png,121,120113,112.811652,28.304885,ok,120,120,677638.7379756878,3132308.7239784687,-451.7733908536611,832.1327029014938,-451.7733908536611,832.1327029014938,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/121@120113@112.811652@28.304885.png,True,False,False,,35,uniform
125,traj01,data/raw/satloc/part_1/UAV Data/traj01/126@125118@112.811037@28.304880.png,UAV Data/traj01/126@125118@112.811037@28.304880.png,126@125118@112.811037@28.304880.png,126,125118,112.811037,28.30488,ok,125,125,677578.4322731774,3132307.2655030005,-512.0790933640674,830.6742274332792,-512.0790933640674,830.6742274332792,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/126@125118@112.811037@28.304880.png,True,False,False,,36,uniform
128,traj01,data/raw/satloc/part_1/UAV Data/traj01/129@128120@112.810670@28.304878.png,UAV Data/traj01/129@128120@112.810670@28.304878.png,129@128120@112.810670@28.304878.png,129,128120,112.81067,28.304878,ok,128,128,677542.4433364867,3132306.5043162284,-548.0680300547974,829.913040661253,-548.0680300547974,829.913040661253,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/129@128120@112.810670@28.304878.png,False,True,False,,37,benchmark73
130,traj01,data/raw/satloc/part_1/UAV Data/traj01/131@130122@112.810432@28.304876.png,UAV Data/traj01/131@130122@112.810432@28.304876.png,131@130122@112.810432@28.304876.png,131,130122,112.810432,28.304876,ok,130,130,677519.105630981,3132305.932844491,-571.40573556046,829.341568924021,-571.40573556046,829.341568924021,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/131@130122@112.810432@28.304876.png,True,False,False,,38,uniform
135,traj01,data/raw/satloc/part_1/UAV Data/traj01/136@135127@112.809883@28.304873.png,UAV Data/traj01/136@135127@112.809883@28.304873.png,136@135127@112.809883@28.304873.png,136,135127,112.809883,28.304873,ok,135,135,677465.2693405347,3132304.793580401,-625.2420260068029,828.2023048340343,-625.2420260068029,828.2023048340343,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/136@135127@112.809883@28.304873.png,True,False,False,,39,uniform
138,traj01,data/raw/satloc/part_1/UAV Data/traj01/139@138130@112.809519@28.304871.png,UAV Data/traj01/139@138130@112.809519@28.304871.png,139@138130@112.809519@28.304871.png,139,138130,112.809519,28.304871,ok,138,138,677429.5746266099,3132304.0371454223,-660.9367399315815,827.445869855117,-660.9367399315815,827.445869855117,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/139@138130@112.809519@28.304871.png,False,True,False,,40,benchmark73
140,traj01,data/raw/satloc/part_1/UAV Data/traj01/141@140132@112.809276@28.304870.png,UAV Data/traj01/141@140132@112.809276@28.304870.png,141@140132@112.809276@28.304870.png,141,140132,112.809276,28.30487,ok,140,140,677405.7449083743,3132303.56936255,-684.7664581672288,826.9780869828537,-684.7664581672288,826.9780869828537,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/141@140132@112.809276@28.304870.png,True,False,False,,41,uniform
145,traj01,data/raw/satloc/part_1/UAV Data/traj01/146@145136@112.808733@28.304868.png,UAV Data/traj01/146@145136@112.808733@28.304868.png,146@145136@112.808733@28.304868.png,146,145136,112.808733,28.304868,ok,145,145,677352.4954004888,3132302.550236108,-738.0159660526551,825.9589605405927,-738.0159660526551,825.9589605405927,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/146@145136@112.808733@28.304868.png,True,False,False,,42,uniform
150,traj01,data/raw/satloc/part_1/UAV Data/traj01/151@150141@112.808469@28.304738.png,UAV Data/traj01/151@150141@112.808469@28.304738.png,151@150141@112.808469@28.304738.png,151,150141,112.808469,28.304738,ok,150,150,677326.8201944653,3132287.757201378,-763.6911720761564,811.1659258105792,-763.6911720761564,811.1659258105792,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/151@150141@112.808469@28.304738.png,True,False,False,,43,uniform
155,traj01,data/raw/satloc/part_1/UAV Data/traj01/156@155146@112.808418@28.304331.png,UAV Data/traj01/156@155146@112.808418@28.304331.png,156@155146@112.808418@28.304331.png,156,155146,112.808418,28.304331,ok,155,155,677322.4937247757,3132242.5823902613,-768.017641765764,765.9911146941595,-768.017641765764,765.9911146941595,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/156@155146@112.808418@28.304331.png,True,False,False,,44,uniform
160,traj01,data/raw/satloc/part_1/UAV Data/traj01/161@160151@112.808417@28.303846.png,UAV Data/traj01/161@160151@112.808417@28.303846.png,161@160151@112.808417@28.303846.png,161,160151,112.808417,28.303846,ok,160,160,677323.200219101,3132188.8377644466,-767.3111474404577,712.2464888794348,-767.3111474404577,712.2464888794348,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/161@160151@112.808417@28.303846.png,True,False,False,,45,uniform
165,traj01,data/raw/satloc/part_1/UAV Data/traj01/166@165155@112.808417@28.303350.png,UAV Data/traj01/166@165155@112.808417@28.303350.png,166@165155@112.808417@28.303350.png,166,165155,112.808417,28.30335,ok,165,165,677324.0230201702,3132133.8756934195,-766.488346371334,657.2844178522937,-766.488346371334,657.2844178522937,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/166@165155@112.808417@28.303350.png,True,True,False,,46,"uniform,benchmark73"
170,traj01,data/raw/satloc/part_1/UAV Data/traj01/171@170160@112.808418@28.302847.png,UAV Data/traj01/171@170160@112.808418@28.302847.png,171@170160@112.808418@28.302847.png,171,170160,112.808418,28.302847,ok,170,170,677324.9554931325,3132078.1394198327,-765.55587340903,601.5481442655437,-765.55587340903,601.5481442655437,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/171@170160@112.808418@28.302847.png,True,False,False,,47,uniform
175,traj01,data/raw/satloc/part_1/UAV Data/traj01/176@175165@112.808427@28.302397.png,UAV Data/traj01/176@175165@112.808427@28.302397.png,176@175165@112.808427@28.302397.png,176,175165,112.808427,28.302397,ok,175,175,677326.5846265563,3132028.287857364,-763.9267399852397,551.696581796743,-763.9267399852397,551.696581796743,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/176@175165@112.808427@28.302397.png,True,False,False,,48,uniform
180,traj01,data/raw/satloc/part_1/UAV Data/traj01/181@180169@112.808450@28.302022.png,UAV Data/traj01/181@180169@112.808450@28.302022.png,181@180169@112.808450@28.302022.png,181,180169,112.80845,28.302022,ok,180,180,677329.4623836629,3131986.767647044,-761.0489828785649,510.176371476613,-761.0489828785649,510.176371476613,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/181@180169@112.808450@28.302022.png,True,False,False,,49,uniform
185,traj01,data/raw/satloc/part_1/UAV Data/traj01/186@185174@112.808450@28.301969.png,UAV Data/traj01/186@185174@112.808450@28.301969.png,186@185174@112.808450@28.301969.png,186,185174,112.80845,28.301969,ok,185,185,677329.5503009598,3131980.894684992,-760.9610655816505,504.3034094246104,-760.9610655816505,504.3034094246104,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/186@185174@112.808450@28.301969.png,True,False,False,,50,uniform
190,traj01,data/raw/satloc/part_1/UAV Data/traj01/191@190179@112.808451@28.301919.png,UAV Data/traj01/191@190179@112.808451@28.301919.png,191@190179@112.808451@28.301919.png,191,190179,112.808451,28.301919,ok,190,190,677329.7313158658,3131975.355622943,-760.780050675734,498.7643473758362,-760.780050675734,498.7643473758362,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/191@190179@112.808451@28.301919.png,True,False,False,,51,uniform
195,traj01,data/raw/satloc/part_1/UAV Data/traj01/196@195184@112.808450@28.301756.png,UAV Data/traj01/196@195184@112.808450@28.301756.png,196@195184@112.808450@28.301756.png,196,195184,112.80845,28.301756,ok,195,195,677329.9036274352,3131957.292026593,-760.6077391062863,480.70075102569535,-760.6077391062863,480.70075102569535,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/196@195184@112.808450@28.301756.png,True,False,False,,52,uniform
200,traj01,data/raw/satloc/part_1/UAV Data/traj01/201@200188@112.808454@28.301620.png,UAV Data/traj01/201@200188@112.808454@28.301620.png,201@200188@112.808454@28.301620.png,201,200188,112.808454,28.30162,ok,200,200,677330.5215221664,3131942.227657528,-759.9898443750571,465.6363819609396,-759.9898443750571,465.6363819609396,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/201@200188@112.808454@28.301620.png,True,False,False,,53,uniform
205,traj01,data/raw/satloc/part_1/UAV Data/traj01/206@205193@112.808454@28.301539.png,UAV Data/traj01/206@205193@112.808454@28.301539.png,206@205193@112.808454@28.301539.png,206,205193,112.808454,28.301539,ok,205,205,677330.6558848157,3131933.251999025,-759.8554817257682,456.66072345757857,-759.8554817257682,456.66072345757857,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/206@205193@112.808454@28.301539.png,True,False,False,,54,uniform
210,traj01,data/raw/satloc/part_1/UAV Data/traj01/211@210198@112.808449@28.301405.png,UAV Data/traj01/211@210198@112.808449@28.301405.png,211@210198@112.808449@28.301405.png,211,210198,112.808449,28.301405,ok,210,210,677330.3877896424,3131918.396038319,-760.1235768990591,441.80476275179535,-760.1235768990591,441.80476275179535,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/211@210198@112.808449@28.301405.png,True,False,False,,55,uniform
215,traj01,data/raw/satloc/part_1/UAV Data/traj01/216@215203@112.808442@28.301039.png,UAV Data/traj01/216@215203@112.808442@28.301039.png,216@215203@112.808442@28.301039.png,216,215203,112.808442,28.301039,ok,215,215,677330.3083759828,3131877.829084304,-760.2029905586969,401.2378087369725,-760.2029905586969,401.2378087369725,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/216@215203@112.808442@28.301039.png,True,False,False,,56,uniform
